Variable,FOUND,OCC10,OCCINDV,OCCSTATUS,OCCTAG,PRESTG10,PRESTG105PLUS,INDUS10,INDSTATUS,INDTAG,SPOCC10,SPOCCINDV,SPOCCSTATUS,SPOCCTAG,SPPRES10,SPPRES105PLUS,SPIND10,SPINDSTATUS,SPINDTAG,PAOCC10,PAOCCINDV,PAOCCSTATUS,PAOCCTAG,PAPRES10,PAPRES105PLUS,PAIND10,PAINDSTATUS,PAINDTAG,MAOCC10,MAOCCINDV,MAOCCSTATUS,MAOCCTAG,MAPRES10,MAPRES105PLUS,MAIND10,MAINDSTATUS,MAINDTAG,SEI10,SPSEI10,PASEI10,MASEI10,SEI10EDUC,SPSEI10EDUC,PASEI10EDUC,MASEI10EDUC,SEI10INC,SPSEI10INC,PASEI10INC,MASEI10INC,FAMILY16,FORM,FORMWT,ID,MARITAL,OVERSAMP,RACE,REG16,REGION,SAMPCODE,SAMPLE,SATFRND,SEX,SIZE,SRCBELT,WRKSTAT,WTSS,WTSSALL,WTSSNR,XNORCSIZ,YEAR,DEGREE,RELIG,SATCITY,SIBS,TICKET,ADULTS,BABIES,HOMPOP,PRETEEN,RELIG16,SATHEALT,SOCREL,TEENS,UNEMP,ATTEND,BURGLR,EDUC,ETHNUM,MEMNUM,RES16,VETYEARS,COOP,GOVAID,HAPPY,HEALTH,SATFAM,COMPREND,OWNGUN,PISTOL,RIFLE,SATHOBBY,SHOTGUN,AGE,COHORT,PHONE,SATFIN,SOCFREND,CHILDS,ARREST,SOCOMMUN,CLASS,MEMCHURH,FINALTER,POVLINE,ANOMIA1,FINRELA,INCOM16,ROBBRY,FEAR,ANOMIA8,GETAHEAD,VOTE72,ANOMIA2,EARNRS,PILL,ANOMIA4,CHLDMORE,FUND16,MEMUNION,RELITEN,CONTV,MEMPOLIT,MEMSPORT,MEMVET,MEMYOUTH,ANOMIA9,CONPRESS,FUND,MEMFARM,MEMFRAT,MEMGREEK,MEMHOBBY,MEMNAT,MEMPROF,MEMSCHL,SOCBAR,SPKATH,MEMLIT,MEMSERV,PARTYID,CONEDUC,CONMEDIC,XMARSEX,GUNLAW,JOBHOUR,JOBINC,JOBMEANS,JOBPROMO,JOBSEC,ABHLTH,MEMOTHER,CONCLERG,CONFED,FEWORK,WORDSUM,LIBATH,ANOMIA3,ANOMIA6,ANOMIA7,CHLDIDEL,CONARMY,LIFE,ABDEFECT,CONLABOR,SPKCOM,COMMUN,MOBILE16,ANOMIA5,CONLEGIS,TEENPILL,FEPRES,WORDD,FEHOME,SEXEDUC,CONBUS,COLATH,PREMARSX,SPKSOC,BUSING,LIBCOM,NATSPAC,CANADA,NATHEAL,WIRTAP,RACPRES,NATAID,NATFARE,LIBHOMO,ABRAPE,ABSINGLE,ENGLAND,WORDB,INCOME,NATEDUC,ABPOOR,SPKHOMO,CONJUDGE,WORDI,HOMOSEX,ABNOMORE,RUSSIA,POLVIEWS,WORDA,JAPAN,LIBSOC,NATCRIME,CAPPUN,COLHOMO,DIVLAW,COLSOC,NATDRUG,CHINA,COLCOM,NATARMS,NATRACE,WORDJ,NATENVIR,ISRAEL,WORDF,CONINC,EGYPT,REALINC,WRKSLF,INCDEF,ISCO68,OCC,PRESTIGE,INDUSTRY,DOTDATA,DOTGED,DOTPEOP,DOTPRES,DOTSVP,DOTTHNG,WORDG,CONSCI,WORDE,UNRELAT,MADEG,RACHOME,AGEWED,MARCOHRT,PAWRKSLF,RACDIN,RACFEW,PAISCO68,PAOCC16,PAPRES16,PAIND16,RACMAR,MAWORK,BRAZIL,PADOTDAT,PADOTGED,PADOTPEO,PADOTPRE,PADOTSVP,PADOTTHN,RACLIVE,NATCITY,MAEDUC,SATJOB,WORDH,RACHAF,ETHNIC,DIVORCE,WORDC,PADEG,PAEDUC,SPWRKSTA,WKSUB,SPREL,HAPMAR,SPDEG,SPREL16,SPEDUC,SPFUND,SPFUND16,WKSUP,PRES72,DENOM16,SPWRKSLF,SPISCO68,SPOCC,SPPRES,SPIND,DENOM,SPDOTDAT,SPDOTGED,SPDOTPEO,SPDOTPRE,SPDOTSVP,SPDOTTHN,RINCOME,RACMOST,CONRINC,REALRINC,WKSUBS,RICHWORK,HRS1,PRAYER,FEPOLY,PRAYERY,SPDEN16,SPDEN,FEPOL,COURTS,EVWORK,SPHRS1,MAWK16,MAWKBABY,RACCLOS,RACDIS,RACINTEG,COURTSY,WKSUPS,SPEVWORK,IF72WHO,FAMDIF16,VETKIND,CHLDNUM,CHLDSOON,OTHER,OTH16,SPOTHER,SPOTH16,HRS2,SPHRS2
Label,Case was retrievable in 2012,R's census occupation code (2010),R's occ/ind verbatim retrieved,OCC10 coding status,OCC10 coding tag,R's occupational prestige score (2010),R's occupational prestige score using threshold method (2010),R's industry code (NAICS 2007),INDUS10 coding status,INDUS10 coding tag,Spouse census occupation code (2010),Spouse's occ/ind verbatim retrieved,SPOCC10 coding status,SPOCC10 coding tag,Spouse occupational prestige score (2010),Spouse occupational prestige score using threshold method (2010),Spouse's industry code (NAICS 2007),SPIND10 coding status,SPIND10 coding tag,Father's census occupation code (2010),Father's occ/ind verbatim retrieved,PAOCC10 coding status,PAOCC10 coding tag,Father's occupational prestige score (2010),Father's occupational prestige score using threshold method (2010),Father's industry code (NAICS 2007),PAIND10 coding status,PAIND10 coding tag,Mothers census occupation code (2010),Mothers occ/ind verbatim retrieved,MAOCC10 coding status,MAOCC10 coding tag,Mothers occupational prestige score (2010),Mothers occupational prestige score using threshold method (2010),Mothers industry code (NAICS 2007),MAIND10 coding status,MAIND10 coding tag,R's socioeconomic index (2010),R's spouse's socioeconomic index (2010),R's father's socioeconomic index (2010),R's mother's socioeconomic index (2010),Percentage of some college educ in OCC10 based on ACS 2010,Percentage of some college educ in SPOCC10 based on ACS 2010,Percentage of some college educ in PAOCC10 based on ACS 2010,Percentage of some college educ in MAOCC10 based on ACS 2010,Percentage of $45k+ earners in OCC10 based on ACS 2010,Percentage of $45k+ earners in SPOCC10 based on ACS 2010,Percentage of $45k+ earners in PAOCC10 based on ACS 2010,Percentage of $45k+ earners in MAOCC10 based on ACS 2010,Living with parents when 16 yrs old,Form of split questionnaire asked,Weight deal with experimental randomization,Respondent ID number,Marital status,Weights for black oversamples,Race of respondent,"Region of residence, age 16",Region of interview,Sampling error code,Sampling frame and method,Friendships,Respondents sex,Size of place in 1000s,SRC beltcode,Labor force status,Weight variable,Weight variable,Weight variable,Expanded NORC size code,GSS year for this respondent,R's highest degree,R's religious preference,City or place R lives in,Number of brothers and sisters,Ever received a traffic ticket,Household members 18 yrs and older,Household members less than 6 yrs old,Number of persons in household,Household members 6 thru 12 yrs old,Religion in which raised,Health and physical condition,Spend evening with relatives,Household members 13 thru 17 yrs old,Ever unemployed in last ten yrs,How often R attends religious services,Home broken into during the last year,Highest year of school completed,Type of response about ethnicity:R,Number of memberships,Type of place lived in when 16 yrs old,Years in armed forces,R's attitude toward interview,"Ever receive welfare, unemp insur, etc.",General happiness,Condition of health,Family life,R's understanding of questions,Have gun in home,Pistol or revolver in home,Rifle in home,"Non-working activities, hobbies",Shotgun in home,Age of respondent,Year of birth,Does R have telephone,Satisfaction with financial situation,Spend evening with friends,Number of children,Ever picked up or charged by police,Spend evening with neighbor,Subjective class identification,Membership in church group,Change in financial situation,R's hh poverty status,"Next to health, money is most important",Opinion of family income,R's family income when 16 yrs old,Forcefully robbed during the last year,Afraid to walk at night in neighborhood,Don't know whom to trust,Opinion of how people get ahead,Did R vote in 1972 election,Wonder if anything is worthwhile,How many in family earned money,Birth control information,Live only for today,Expect more children,How fundamentalist was R at age 16,Membership in labor union,Strength of affiliation,Confidence in television,Membership in political club,Membership in sports club,Membership in veteran group,Membership in youth group,Most don't care what happens to others,Confidence in press,How fundamentalist Is R currently,Membership in farm organization,Membership in fraternal group,Membership in school fraternity,Membership in hobby club,Membership in nationality group,Membership in professional society,Membership in school service,Spend evening at bar,Allow anti-religionist to speak,Membership in literary or art group,Membership in service group,Political party affiliation,Confidence in education,Confidence in medicine,Sex with person other than spouse,Favor or oppose gun permits,Short working hours,High income,Work important and feel accomplishment,Chances for advancement,No danger of being fired,Woman's health seriously endangered,Membership in any other,Confidence in organized religion,Confid. in exec branch of fed govt,Should women work,Number words correct in vocabulary test,Allow anti-religious book in library,No right & wrong ways to make money,Not fair to bring child into world,Officials not interested in average man,Ideal number of children,Confidence in military,Is life exciting or dull,Strong chance of serious defect,Confidence in organized labor,Allow communist to speak,Feelings about communism,Geographic mobility since age 16,Lot of the average man getting worse,Confidence in congress,Birth control information to teens,Vote for woman president,Word d,Women take care of home not country,Sex education in public schools,Confidence in major companies,Allow anti-religionist to teach,Sex before marriage,Allow socialist to speak,Attitude toward racial busing,Allow communists book in library,Space exploration program,Liking for Canada,Improving & protecting nations health,Wiretapping,Would vote for black president,Foreign aid,Welfare,Allow homosexuals book in library,Pregnant as result of rape,Not married,Liking for England,Word b,Total family income,Improving nations education system,Low income--cant afford more children,Allow homosexual to speak,Confid. in united states supreme court,Word i,Homosexual sex relations,Married--wants no more children,Liking for Russia,Think of self as liberal or conservative,Word a,Liking for Japan,Allow socialists book in library,Halting rising crime rate,Favor or oppose death penalty for murder,Allow homosexual to teach,Divorce laws,Allow socialist to teach,Dealing with drug addiction,Liking for China,Should communist teacher be fired,"Military, armaments, and defense",Improving the conditions of blacks,Word j,Improving & protecting environment,Liking for Israel,Word f,Family income in constant dollars,Liking for Egypt,Family income in constant $,R self-emp or works for somebody,Distance below poverty line,"Respondent's occupation, 1970 census",R's census occupation code (1970),R's occupational prestige score(1970),R's industry code (1970),D.O.T. code - relation to data,D.O.T. code - general educ develop.,D.O.T. code - relation to people,TEMME prestige scale,D.O.T. code - specific vocat. prep,D.O.T. code - relation to things,Word g,Confidence in scientific community,Word e,Number in household not related,Mothers highest degree,Opp. race home for dinner recently,Age when first married,Year of first marriage,Father self-emp. or worked for somebody,Object to opp. race home for dinner,Children to school with opposite race,"R's Father's occupation, 1970 census",Father's census occupation code (1970),Father's occupational prestige score (1970),Father's industry code (1970),Favor law against racial intermarriage,Mothers employment since marriage,Liking for Brazil,FA. D.O.T. code - relation to data,FA. D.O.T. code - general educ develop.,FA. D.O.T. code - relation to people,FA. TEMME prestige scale,FA. D.O.T. code - specific vocat. prep,FA. D.O.T. code - relation to things,Any opp. race in neighborhood,Solving problems of big cities,"Highest year school completed, mother",Work satisfaction,Word h,Children to school half opposite race,Country of family origin,Ever been divorced or separated,Word c,Father's highest degree,"Highest year school completed, father",Spouse labor force status,Does R or spouse have supervisor,Spouse's religious preference,Happiness of marriage,Spouse's highest degree,Religion in which spouse raised,"Highest year school completed, spouse",How fundamentalist is spouse currently,How fundamentalist was spouse at 16,Does R or spouse supervise anyone,Vote for McGovern or Nixon,Denomination in which R was raised,Spouse self-emp. or works for somebody,"R's spouse's occupation, 1970 census",Spouse census occupation code (1970),Spouse's occupational prestige score (1970),Spouse's industry code (1970),Specific denomination,SP. D.O.T. code - relation to data,SP. D.O.T. code - general educ develop.,SP. D.O.T. code - relation to people,SP. TEMME prestige scale,SP. D.O.T. code - specific vocat. prep,SP. D.O.T. code - relation to things,Respondents income,Children to school mostly opposite race,Respondent income in constant dollars,R's income in constant $,Does supervisor have supervisor,"If rich, continue or stop working",Number of hours worked last week,Bible prayer in public schools,Men or women better suited for politics,Bible prayer in schools-Version Y,Denomination in which spouse raised,"Specific denomination, spouse",Women not suited for politics,Courts dealing with criminals,Ever work as long as one year,Number of hrs spouse worked last week,Mothers employment when R growing up,Mothers employment before first grade,Any opp. race living close to R,How far are closest opp. race,Will neighborhood become all black,Courts dealing with criminals-Version Y,Does subordinate supervise anyone,Spouse ever work as long as a year,Who would R have voted for-1972 election,Reason not living with parents,Branch of service,How many children expected,Children expected in 5 years,Other protestant denominations,Other protestant denominations,Other protestant denominations,Other protestant denominations,Number of hours usually work a week,No. of hrs spouse usually works a week
,1,5620,1,3,1,25,12,4970,3,1,3600,1,3,1,48,50,8190,3,1,1550,1,3,1,50,63,2670,3,1,0,0,1,1,0,0,0,1,1,23.8,24.2,57.4,-1.0,33.7,40.8,63.9,-1.0,13.8,11.3,66.2,-1.0,1,2,1.000,1,1,1.0000,1,6,6,149,2,5,1,301,2,6,1.00,0.93,1.00,1,1974,1,1,3,3,2,2,0,2,0,1,1,2,0,2,7,2,14,3,3,5,0,1,2,1,1,3,1,2,2,2,2,2,21,1953,3,1,4,0,2,4,2,1,3,3,2,2,4,2,1,2,1,1,1,2,1,1,2,2,1,1,1,2,1,2,2,1,1,2,2,2,2,2,2,2,2,6,1,2,2,2,1,1,1,1,3,4,1,2,5,1,2,2,2,1,9,2,1,2,1,4,2,1,8,3,1,2,1,2,2,1,1,1,8,1,1,4,1,1,2,2,3,1,2,2,1,3,3,2,1,2,3,1,3,1,2,1,1,1,1,2,5,4,1,2,2,1,1,4,2,4,2,7,5,3,2,1,1,2,1,11820,4,8636,2,4,9990,762,17,628,5.85,2.53,7.65,15.3,2.74,7.12,0,1,1,0,1,2,20,1973,2,3,2,110,45,69,147,2,1,4,0.38,5.75,7.92,68.1,7.79,1.24,2,3,12,0,1,2,0,2,1,1,12,2,1,1,1,1,1,12,2,1,2,1,28,2,720,925,36,838,28,6.81,3.06,6.91,33.6,4.02,7.97,2,2,6754,4935,3,0,-1,0,2,3,18,28,0,0,1,8,1,1,0,0,0,2,0,0,0,0,-1,0,-1,0,0,0,0,-1,-1
,1,2040,1,3,1,66,86,9160,3,1,0,0,1,1,0,0,0,1,1,6200,1,3,1,49,63,6080,3,1,0,0,1,1,0,0,0,1,1,62.6,-1.0,46.0,-1.0,89.4,-1.0,35.1,-1.0,45.2,-1.0,64.9,-1.0,1,1,1.000,2,1,1.0000,1,3,6,149,2,3,1,301,2,1,1.00,0.93,1.00,1,1974,3,1,4,0,1,2,0,5,0,1,2,6,3,2,8,2,16,2,3,3,0,1,2,1,2,1,1,1,2,2,1,1,41,1933,3,2,4,3,2,4,3,1,1,3,2,4,3,2,1,1,1,1,2,2,1,2,2,1,2,1,2,2,2,2,2,1,2,1,2,2,2,2,2,1,2,7,1,1,2,0,1,1,1,2,4,3,1,2,5,1,2,2,1,2,9,2,2,2,2,3,1,1,2,2,2,1,3,2,1,1,2,1,1,2,1,4,1,1,2,1,1,4,1,2,2,3,3,1,2,2,4,1,10,1,2,2,1,1,1,2,5,5,1,4,2,2,1,5,2,4,1,5,4,1,3,1,3,5,1,59102,5,43178,1,7,1410,86,69,877,1.05,5.97,0.06,59.6,7.96,7.97,0,1,1,0,1,2,22,1955,2,1,1,7000,441,45,407,1,1,5,1.35,3.89,4.28,42.8,6.86,6.09,1,1,12,1,1,0,24,2,1,0,8,7,2,1,1,1,1,12,1,1,1,3,18,0,0,0,0,0,60,-1.00,-1.00,-1.00,-1.0,-1.00,-1.00,10,0,59102,43178,0,1,65,2,0,0,60,60,1,2,0,-1,1,2,1,1,1,0,4,2,0,0,-1,0,-1,36,0,36,36,-1,-1
,1,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,1,1,205,1,3,1,46,58,170,3,1,0,0,1,1,0,0,0,1,1,-1.0,-1.0,39.9,-1.0,-1.0,-1.0,45.2,-1.0,-1.0,-1.0,40.3,-1.0,4,2,1.000,3,2,1.0000,1,5,6,149,2,1,2,301,2,7,1.00,0.47,1.00,1,1974,0,1,1,10,2,1,0,1,0,1,2,4,0,2,3,2,10,4,2,3,0,1,2,1,2,2,1,2,2,2,5,2,83,1891,2,1,7,2,2,6,2,2,3,5,8,3,3,2,1,1,1,2,8,0,8,2,4,2,2,1,8,2,2,1,2,1,8,2,2,2,2,2,2,2,2,7,2,2,2,0,8,8,1,8,4,2,5,1,3,1,1,1,3,8,9,1,8,8,1,2,8,2,1,8,2,1,3,8,8,8,2,1,1,8,8,5,1,2,2,1,3,2,8,2,8,3,3,8,1,8,3,1,2,2,8,8,8,1,1,2,9,6,1,4,1,2,1,8,8,5,2,9,4,8,3,1,8,5,1,6754,6,4935,0,4,0,0,0,0,-1.00,-1.00,-1.00,-1.0,-1.00,-1.00,0,8,1,-1,7,2,26,1917,1,2,8,6110,801,41,17,1,0,-1,1.68,3.84,7.97,30.9,6.62,1.51,2,3,97,1,1,1,0,2,1,8,98,0,0,0,0,7,0,97,0,0,0,0,28,0,0,0,0,0,28,-1.00,-1.00,-1.00,-1.0,-1.00,-1.00,0,0,0,0,0,0,-1,0,1,1,0,0,0,0,2,-1,0,0,0,0,0,2,0,0,8,1,-1,0,-1,0,0,0,0,-1,-1
,1,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,1,1,7740,1,3,1,34,29,2670,3,1,0,0,1,1,0,0,0,1,1,-1.0,-1.0,33.9,-1.0,-1.0,-1.0,29.5,-1.0,-1.0,-1.0,40.0,-1.0,1,1,1.000,4,2,1.0000,1,6,6,149,2,2,2,301,2,7,1.00,0.47,1.00,1,1974,0,1,1,4,2,1,0,1,0,1,3,3,0,2,3,2,10,1,1,6,0,1,2,2,2,2,1,2,2,2,2,2,69,1905,3,1,7,2,2,1,3,1,1,5,1,3,2,2,2,2,1,2,2,0,1,2,2,2,2,1,1,2,2,2,2,1,3,2,2,2,2,2,2,2,2,7,2,2,2,0,1,1,1,1,5,1,3,2,4,1,2,1,1,8,5,2,2,2,8,2,1,2,1,8,2,1,1,1,8,2,2,1,1,1,1,5,8,8,2,2,2,2,2,8,8,2,2,1,1,2,2,1,2,2,2,2,8,1,1,2,-1,6,0,-1,2,2,8,5,8,5,1,-1,4,2,2,0,2,2,0,6754,-1,4935,0,4,0,0,0,0,-1.00,-1.00,-1.00,-1.0,-1.00,-1.00,1,8,1,-1,3,2,17,1922,2,1,2,0,999,0,147,1,2,2,-1.00,-1.00,-1.00,-1.0,-1.00,-1.00,2,2,16,1,0,1,10,2,0,8,98,0,0,0,0,7,0,97,0,0,0,0,28,0,0,0,0,0,28,-1.00,-1.00,-1.00,-1.0,-1.00,-1.00,0,0,0,0,0,0,-1,1,0,0,0,0,1,2,2,-1,0,0,0,0,0,0,0,0,2,0,-1,0,-1,0,0,0,0,-1,-1
,1,5820,1,3,1,37,29,2670,3,1,0,0,1,1,0,0,0,1,1,205,1,3,1,46,58,170,3,1,0,0,1,1,0,0,0,1,1,35.1,-1.0,39.9,-1.0,56.7,-1.0,45.2,-1.0,21.1,-1.0,40.3,-1.0,1,1,1.000,5,5,1.0000,1,6,6,149,2,3,2,301,2,1,1.00,0.47,1.00,1,1974,1,1,4,3,1,1,0,1,0,1,2,5,0,2,5,2,12,1,0,2,0,1,2,2,3,4,1,2,2,2,4,2,58,1916,3,2,2,0,2,2,2,2,3,3,2,3,3,2,1,1,1,1,1,1,1,1,2,1,2,1,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,5,2,2,2,1,2,2,1,1,5,1,4,2,3,1,2,1,2,1,8,1,1,1,2,3,1,2,1,2,1,1,3,1,2,1,2,1,2,2,2,5,1,2,2,1,2,4,2,2,2,2,2,1,1,2,4,1,8,1,2,2,2,1,1,2,9,6,1,7,1,1,1,5,2,5,2,8,4,1,2,0,2,3,1,30395,5,22206,2,6,3210,391,41,147,3.72,3.05,7.90,37.6,3.78,7.85,1,2,1,-1,0,2,0,0,1,1,2,6110,801,41,17,1,2,5,1.68,3.84,7.97,30.9,6.62,1.51,2,1,6,2,1,1,8,0,0,0,9,0,1,0,0,7,0,97,0,0,2,2,18,0,0,0,0,0,18,-1.00,-1.00,-1.00,-1.0,-1.00,-1.00,7,0,25329,18505,3,2,40,2,0,0,0,0,1,2,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,-1,-1
,1,910,1,3,1,45,60,6870,3,1,5110,1,3,1,40,38,6870,3,1,7940,1,3,1,38,40,2670,3,1,0,0,1,1,0,0,0,1,1,62.1,33.4,25.4,-1.0,78.2,55.8,16.7,-1.0,62.4,18.5,31.9,-1.0,1,1,1.000,6,1,1.0000,1,6,6,149,2,2,1,3,4,6,1.00,0.93,1.00,3,1974,3,1,3,1,1,2,0,2,0,1,2,4,0,2,3,2,16,2,2,4,2,1,2,2,2,2,1,1,1,1,2,1,30,1944,3,2,2,0,2,7,3,2,1,3,2,3,3,2,2,1,2,1,2,2,1,2,1,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,4,1,2,1,4,2,2,1,2,4,3,2,1,5,1,2,2,2,1,8,2,2,2,1,8,2,1,1,2,1,3,1,2,2,1,1,1,2,1,1,4,4,1,2,2,2,0,1,1,1,2,2,2,1,1,1,1,9,1,1,1,3,1,1,1,2,5,1,0,2,2,1,4,8,4,9,3,5,2,2,1,1,3,1,42215,3,30841,2,6,2114,202,72,707,1.29,5.06,3.33,60.1,7.81,7.99,0,1,1,0,1,2,21,1965,2,3,2,8351,533,36,147,2,1,4,7.00,2.38,8.00,30.3,3.91,4.30,2,2,12,0,0,2,11,2,1,0,9,1,1,2,1,1,2,12,2,2,1,2,28,2,3990,395,36,707,28,3.55,3.59,7.60,41.0,3.91,7.94,8,1,30395,22206,3,0,-1,2,0,0,0,0,1,2,1,40,1,2,0,0,0,0,4,0,0,0,4,9,8,0,0,0,0,-1,-1
,1,230,1,3,1,59,80,7860,3,1,5140,1,3,1,40,32,770,3,1,6840,1,3,1,40,42,380,3,1,0,0,1,1,0,0,0,1,1,75.5,41.8,42.2,-1.0,92.0,59.2,22.9,-1.0,74.2,33.0,68.5,-1.0,1,2,1.000,7,1,1.0000,1,6,6,149,2,1,1,3,4,1,1.00,0.93,1.00,3,1974,4,1,1,9,1,2,0,2,0,1,1,1,0,2,4,2,17,2,10,2,2,1,2,1,2,1,1,1,1,1,1,1,48,1926,3,1,4,2,2,2,3,1,1,3,2,4,2,2,2,2,1,1,2,1,1,2,4,1,2,2,2,2,1,1,1,2,2,1,1,2,1,2,1,1,1,5,1,1,2,4,2,2,8,1,3,2,1,4,5,1,2,2,3,1,9,2,2,2,2,8,2,1,1,3,1,3,2,2,3,1,1,1,2,1,1,4,8,1,2,1,2,0,2,2,1,3,3,1,1,1,0,1,11,1,1,1,1,1,8,1,0,5,1,0,2,1,2,4,1,4,1,4,4,1,2,0,2,0,1,75988,4,55515,2,7,1391,240,60,857,1.19,5.75,1.43,71.2,7.93,7.88,1,1,1,0,0,2,24,1950,2,3,2,7110,640,26,48,2,2,0,5.67,2.83,8.00,26.5,4.12,3.69,2,1,3,1,1,2,24,2,1,0,5,7,1,1,1,1,1,14,1,1,1,2,60,2,3390,360,41,69,18,3.65,3.73,7.77,44.7,4.58,7.99,11,2,75988,55515,3,1,55,0,2,3,18,18,0,0,0,-1,0,0,0,0,0,3,3,1,0,0,2,0,-1,0,35,0,0,-1,-1
,1,6355,1,3,1,49,54,2870,3,1,5860,1,3,1,32,26,6990,3,1,8610,1,3,1,47,53,4490,3,1,0,0,1,1,0,0,0,1,1,45.4,35.8,50.0,-1.0,43.9,56.1,45.5,-1.0,55.3,22.8,64.8,-1.0,1,1,1.000,8,1,1.0000,1,6,6,149,2,1,1,3,4,5,1.00,0.93,1.00,3,1974,0,1,1,3,1,2,0,2,0,1,1,2,0,2,8,2,10,1,2,3,0,1,1,1,1,1,1,1,1,2,1,2,67,1907,3,1,7,1,2,3,2,1,3,3,2,3,3,2,2,1,1,1,2,0,2,2,4,2,1,1,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,7,2,2,2,0,2,1,1,1,5,4,1,2,3,1,2,1,3,2,5,1,2,1,1,2,1,1,2,2,2,1,1,1,2,8,8,1,1,1,1,5,1,2,2,1,8,0,2,1,2,3,2,2,8,2,0,1,4,1,2,2,3,1,1,2,9,5,0,0,2,2,1,5,2,4,1,4,4,2,3,9,1,0,1,15198,1,11103,2,5,8550,430,49,147,2.12,3.96,7.77,43.8,6.95,1.25,0,1,1,0,0,2,25,1932,2,3,1,9690,545,35,469,1,2,0,5.64,3.75,7.80,42.4,6.27,2.39,2,2,8,0,0,0,8,2,9,0,6,7,0,1,1,1,1,12,2,2,0,2,28,2,3990,395,36,798,28,4.10,3.30,7.49,35.6,3.43,7.52,0,0,0,0,0,0,-1,2,0,0,28,28,1,2,1,-1,0,0,0,0,0,0,0,1,0,0,-1,0,-1,0,0,0,0,-1,-1
,1,4720,1,3,1,28,16,5170,3,1,4700,1,3,1,38,39,5090,3,1,3930,1,3,1,34,27,570,3,1,0,0,1,1,0,0,0,1,1,21.6,43.0,34.7,-1.0,35.0,55.4,48.5,-1.0,9.9,39.1,25.7,-1.0,1,2,1.000,9,1,1.0000,1,6,6,149,2,1,2,3,4,7,1.00,0.93,1.00,3,1974,1,1,2,1,2,2,0,2,0,1,3,2,0,2,4,1,12,4,0,3,0,2,2,1,3,1,1,1,1,2,1,2,51,1923,3,1,4,2,2,7,4,2,1,4,2,3,3,2,1,1,1,1,2,1,1,2,4,1,2,1,1,2,2,2,2,1,3,1,2,2,2,2,2,2,2,7,2,2,2,5,1,1,1,1,4,3,5,1,2,1,2,1,2,1,3,1,2,2,2,4,2,2,1,2,2,1,1,8,2,1,2,0,1,1,2,5,1,1,2,1,8,0,2,2,1,3,3,1,1,8,0,1,98,1,1,2,2,1,1,1,5,8,9,5,2,8,2,5,2,5,2,9,4,2,2,0,2,-1,0,0,-1,0,2,0,4510,283,29,657,3.95,3.14,5.88,30.7,3.59,7.85,9,1,1,0,8,2,19,1942,2,1,1,6110,801,41,467,1,2,2,1.68,3.84,7.97,30.9,6.62,1.51,2,8,98,1,9,0,0,2,9,8,98,1,2,1,1,1,1,12,2,2,1,2,18,1,2190,245,50,648,18,2.95,3.68,6.15,38.6,5.62,7.22,0,0,0,0,0,0,-1,0,1,1,28,28,0,0,1,40,0,0,0,0,0,3,4,0,0,0,-1,0,-1,0,0,0,0,-1,-1
